Log Name: DT
Description: Delta-T {F13.4}
Type: Sonic
Curve UOM: US/F
Depth UOM: Meters
Source: <SeisWare.seisware_sdk_311.ID; proxy of <Swig Object of type 'SeisWare::UserKey *' at 0x000001BC29537780> >
Null Value: -999.2500
Top Depth: 1308.0492
Base Depth: 1758.0864
Depth Increment: 0.1524
Depth,Value
1438.0464,59.6027
1438.1988,59.7664
1438.3512,61.9393
1438.5036,62.7720
1438.6560,63.8347
1438.8084,66.8111
1438.9608,67.3954
1439.1132,69.1562
1439.2656,69.5402
1439.4180,69.7974
1439.5704,68.8191
1439.7228,68.7060
1439.8752,68.4772
1440.0276,68.3057
1440.1800,68.0207
1440.3324,69.1672
1440.4848,69.3751
1440.6372,69.8626
1440.7896,69.8106
1440.9420,69.2723
1441.0944,66.7187
1441.2468,65.7452
1441.3992,66.1163
1441.5516,68.2058
1441.7040,68.9158
1441.8564,69.9051
1442.0088,72.6585
1442.1612,72.3087
1442.3136,72.2596
1442.4660,71.4363
1442.6184,70.0092
1442.7708,68.2445
1442.9232,67.7601
1443.0756,68.3087
1443.2280,68.9362
1443.3804,70.4078
1443.5328,71.5429
1443.6852,71.0171
1443.8376,69.0025
1443.9900,67.1315
1444.1424,64.3068
1444.2948,63.2331
1444.4472,62.7690
1444.5996,62.2628
1444.7520,62.4323
1444.9044,63.2027
1445.0568,64.5264
1445.2092,66.3404
1445.3616,68.2840
1445.5140,68.1217
1445.6664,67.1616
1445.8188,66.3602
1445.9712,64.9253
1446.1236,65.8557
1446.2760,65.9774
1446.4284,65.3453
1446.5808,65.0490
1446.7332,63.5736
1446.8856,61.3656
1447.0380,61.1502
1447.1904,61.7377
1447.3428,62.8198
1447.4952,63.6996
1447.6476,65.0743
1447.8000,65.8515
1447.9524,67.1533
1448.1048,68.4894
1448.2572,68.7259
1448.4096,68.0955
1448.5620,66.2444
1448.7144,63.3588
1448.8668,61.8934
1449.0192,62.6632
1449.1716,64.7487
1449.3240,68.7861
1449.4764,72.5182
1449.6288,73.7023
1449.7812,74.3829
1449.9336,74.5141
1450.0860,74.7493
1450.2384,75.3623
1450.3908,76.4087
1450.5432,77.0382
1450.6956,76.3321
1450.8480,75.7524
1451.0004,72.8039
1451.1528,68.5531
1451.3052,65.8014
1451.4576,62.8035
1451.6100,61.1681
1451.7624,60.1561
1451.9148,59.8170
1452.0672,50.7624
1452.2196,60.8175
1452.3720,59.4709
1452.5244,68.1440
1452.6768,58.9861
1452.8292,58.9033
1452.9816,59.1933
1453.1340,59.5472
1453.2864,61.7537
1453.4388,64.6017
1453.5912,65.1618
1453.7436,62.9392
1453.8960,60.6846
1454.0484,59.9909
1454.2008,60.9206
1454.3532,61.9430
1454.5056,63.3311
1454.6580,64.7327
1454.8104,66.1764
1454.9628,66.9795
1455.1152,66.7500
